フォルダ名,ファイル名,車名,通称名,型式,燃費値（km/L）,燃料種別
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうエアロスター,2KG-MP35FM,4.16,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうエアロスター,2PG-MP35FP,4.38,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうエアロスター,2KG-MP35FP,4.16,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうローザ,2RG-BE740E,9.55,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうローザ,2RG-BE740E,9.64,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうローザ,2RG-BE740G,9.55,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうローザ,2RG-BE740G,9.64,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうローザ,2RG-BE740J,9.55,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうローザ,2RG-BE740J,9.64,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,三菱,ふそうローザ,2RG-BG740G,9.63,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,トヨタ,トヨタコースター,2KG-GDB60,8.52,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,トヨタ,トヨタコースター,2KG-GDB70,8.52,ディーゼル
令和6年3月,10.1_2023_HD_bus_JH25.xlsx,トヨタ,トヨタコースター,2KG-GDB80,8.52,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU70GY,3.97,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU70GY,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2KG-FU70HY,3.92,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU70HY,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU70HY,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74GY,3.97,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74GY,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74HY,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74HY,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74GZ,3.97,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74GZ,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2KG-FU74HZ,3.92,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74HZ,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74HZ,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU74HZ,4.05,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU75GZ,3.97,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU75GZ,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU75HZ,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU75HZ,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FU75HZ,4.05,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2KG-FV70GX,4.62,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2KG-FV70GX,4.62,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70GX,4.72,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70GX,4.72,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2KG-FV70HX,4.62,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2KG-FV70HX,4.53,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HX,4.73,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HX,4.73,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HX,4.73,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70GY,3.97,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70GY,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2KG-FV70HY,3.92,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HY,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HY,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HY,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HY,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HY,4.05,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HY,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70GZ,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2KG-FV70HZ,3.92,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HZ,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV70HZ,4.05,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV74GZ,4.01,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV74HZ,4.04,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FV74HZ,4.05,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FY70GY,3.97,ディーゼル
令和6年3月,11.1_2023_HD_truck_JH25.xlsx,三菱,ふそう,2PG-FY70GY,4.01,ディーゼル
